Year,Country,Core_CPI,Inflation,Exports,Foreign_Reserves,GDP,Imports,Industrial_Production,Exchange_Rate,Retail_Sales,Stock_Market,Total_Reserves,Unemployment
1996,Advanced Economies,101.8832,2.113055,4520414.0,0.291661,33950163.0,4989094.0,8100000000000.0,7.546392,59.23351,93.097505,1202061.0,7.071621
1997,Advanced Economies,101.8832,2.113055,4952759.0,0.291661,33950163.0,5392757.0,8100000000000.0,7.546392,59.23351,93.097505,1202061.0,7.071621
1998,Advanced Economies,101.8832,1.90917,5141825.0,0.298636,34821159.0,5658476.0,8250000000000.0,7.546392,57.30905,93.097505,1230332.0,6.683189
1999,Advanced Economies,101.8832,1.737984,5409369.0,0.290025,35985399.0,6105051.0,8500000000000.0,7.546392,60.1363,93.097505,1261871.0,6.379832
2000,Advanced Economies,101.8832,2.701247,6064090.0,0.28005,37467104.0,6773346.0,8920000000000.0,7.546392,59.98409,93.097505,1366128.0,5.945781
2001,Advanced Economies,101.8832,2.665014,6062661.0,0.301574,38025964.0,6772880.0,8730000000000.0,7.546392,59.48592,93.097505,1410951.0,6.083438
2002,Advanced Economies,101.8832,2.068841,6353687.0,0.338647,38590851.0,7152648.0,8750000000000.0,7.546392,63.78122,93.097505,1628806.0,6.633609
2003,Advanced Economies,101.8832,2.054477,6639058.0,0.356308,39328920.0,7449024.0,8890000000000.0,7.546392,74.35941,93.097505,1980805.0,6.816206
2004,Advanced Economies,101.8832,2.12426,7219556.0,0.344219,40516823.0,8049181.0,9160000000000.0,7.546392,83.49292,93.097505,2284114.0,6.569727
2005,Advanced Economies,101.8832,2.29027,7562320.0,0.303207,41641876.0,8454541.0,9370000000000.0,7.546392,88.13634,93.097505,2246925.0,6.22899
2006,Advanced Economies,101.8832,2.402492,8180593.0,0.286595,42883738.0,9056577.0,9710000000000.0,7.546392,93.56353,93.097505,2416224.0,5.774818
2007,Advanced Economies,101.8832,2.341529,8651611.0,0.275381,44025862.0,9361320.0,9990000000000.0,7.546392,105.1334,93.097505,2604470.0,5.515876
2008,Advanced Economies,101.8832,4.073851,8822724.0,0.251073,44133064.0,9296806.0,9740000000000.0,7.546392,111.1505,93.097505,2658475.0,5.915271
2009,Advanced Economies,101.8832,0.582962,7683596.0,0.39287,42591405.0,8140257.0,8420000000000.0,7.546392,98.90963,93.097505,3149678.0,8.141659
2010,Advanced Economies,101.8832,1.704278,8725362.0,0.366576,43837072.0,9092439.0,9060000000000.0,7.546392,100.0,93.097505,3462328.0,8.455106
2011,Advanced Economies,101.8832,3.23847,9232359.0,0.344257,44544010.0,9448591.0,9220000000000.0,7.546392,106.8742,93.097505,3823939.0,8.167115
2012,Advanced Economies,101.8832,2.448517,9255862.0,0.376956,45063205.0,9519754.0,9260000000000.0,7.546392,101.3251,93.097505,4111088.0,8.300896
2013,Advanced Economies,101.8832,1.395067,9399233.0,0.388356,45718966.0,9599867.0,9310000000000.0,7.546392,102.22,93.097505,4243080.0,8.254138
2014,Advanced Economies,101.8832,0.491495,9651048.0,0.383093,46673950.0,9914852.0,9490000000000.0,7.546392,102.4293,93.097505,4252205.0,7.624245
2015,Advanced Economies,101.8832,0.086131,9753471.0,0.445253,47770871.0,10326904.0,9510000000000.0,7.546392,90.28958,93.097505,4342558.0,7.006724
2016,Advanced Economies,101.8832,0.30771,9913558.0,0.469382,48612104.0,10498930.0,9500000000000.0,7.546392,91.3892,93.097505,4484259.0,6.52296
2017,Advanced Economies,101.8832,1.437141,10423065.0,0.470434,49866614.0,10946144.0,9720000000000.0,7.546392,95.65863,93.097505,4936212.0,5.908583
